热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.019775,300.000305,3612.533936,3615.240234,306.852509,306.851013,283.404205,283.397797,5.842500,5.829300,10.473800,10.480400,246.585907,246.001205,246.585602,246.001404,212.815308,212.814102,18.000000,18.000000,244.305099,243.755402,273.896790,273.749115,15.264000,5.402600,136.768402,357.863586,337.470398
915.021973,299.992004,3612.545898,3615.311279,306.852692,306.851013,283.404388,283.398102,5.842900,5.828900,10.473900,10.480300,246.570801,246.017395,246.567200,246.022095,212.815399,212.814194,18.000000,18.000000,244.297302,243.720596,273.899811,273.744690,15.264000,5.402700,136.691101,357.848389,337.471191
915.022522,299.983490,3612.527588,3615.337646,306.852997,306.851013,283.404297,283.398102,5.843000,5.829300,10.474000,10.480400,246.563599,246.016693,246.563095,246.013794,212.815399,212.814194,18.000000,18.000000,244.352493,243.776306,273.901489,273.749115,15.263900,5.402700,136.610992,357.819489,337.470703
915.023804,300.009094,3612.509033,3615.321777,306.853485,306.851105,283.404510,283.398285,5.843100,5.829400,10.474000,10.480500,246.560593,246.008301,246.560501,246.007004,212.815399,212.814194,18.000000,18.000000,244.376297,243.804001,273.901611,273.750610,15.263700,5.402800,136.675400,357.818604,337.470001
915.026489,299.976715,3612.523682,3615.265381,306.852600,306.851013,283.404510,283.398193,5.842300,5.829600,10.473900,10.480600,246.578705,245.997803,246.587006,245.994095,212.815704,212.814499,18.000000,18.000000,244.259399,243.715302,273.893585,273.752289,15.263700,5.402700,136.756897,357.859100,337.470612
915.025574,300.015411,3612.537598,3615.290039,306.852203,306.851013,283.404510,283.398285,5.842800,5.829400,10.474000,10.480400,246.583694,245.992493,246.577103,245.997406,212.815598,212.814407,18.000000,18.000000,244.335098,243.784500,273.899597,273.748688,15.264000,5.402700,136.815598,357.859497,337.470886
915.034119,299.972107,3612.524414,3615.370361,306.852692,306.851105,283.404510,283.398285,5.842500,5.828800,10.473900,10.480300,246.571198,246.023407,246.574905,246.025208,212.815796,212.814606,18.000000,18.000000,244.209503,243.635498,273.895203,273.744385,15.263900,5.402700,136.706802,357.825012,337.470795
915.020020,300.010498,3612.521729,3615.252930,306.852814,306.851288,283.404388,283.398102,5.842800,5.829400,10.473900,10.480400,246.578903,246.009705,246.575699,246.006897,212.815399,212.814194,18.000000,18.000000,244.350906,243.789993,273.899109,273.750214,15.263800,5.402700,136.739700,357.851013,337.470886
915.015930,299.976013,3612.541016,3615.312500,306.852509,306.851288,283.404297,283.398010,5.843000,5.829600,10.474000,10.480400,246.569702,246.001205,246.568604,246.000000,212.815598,212.814407,18.000000,18.000000,244.362000,243.801407,273.901001,273.752106,15.264100,5.402700,136.809799,357.856812,337.471588
915.022278,300.009491,3612.526123,3615.375488,306.852814,306.851288,283.404510,283.398193,5.843100,5.829500,10.474000,10.480400,246.566101,245.996307,246.563904,245.997803,212.815399,212.814194,18.000000,18.000000,244.373901,243.811005,273.902313,273.750305,15.264000,5.402700,136.708298,357.824310,337.471008
