热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.018188,299.994507,3612.518311,3615.234619,306.852386,306.851105,283.404388,283.397888,5.843000,5.829300,10.474000,10.480400,246.552505,246.029099,246.555206,246.022003,212.815704,212.814499,18.000000,18.000000,244.311203,243.727203,273.899994,273.749603,15.263800,5.402700,136.600998,357.844513,337.470001
915.018921,300.011200,3612.531250,3615.190186,306.852600,306.851013,283.404297,283.397888,5.842300,5.829100,10.473800,10.480300,246.579407,246.006500,246.584793,246.008408,212.815704,212.814499,18.000000,18.000000,244.233597,243.676300,273.895203,273.745087,15.263600,5.402700,136.659607,357.867401,337.470490
915.021179,300.005310,3612.528809,3615.376465,306.852600,306.851105,283.404388,283.397888,5.842900,5.829100,10.473900,10.480300,246.572006,246.020996,246.568100,246.019302,212.815399,212.814194,18.000000,18.000000,244.326202,243.751999,273.899689,273.748108,15.263900,5.402700,136.751205,357.826599,337.470398
915.019775,299.995087,3612.515869,3615.345459,306.853790,306.851105,283.404297,283.397888,5.842400,5.829400,10.473800,10.480400,246.575699,246.007904,246.581696,246.003998,212.815506,212.814301,18.000000,18.000000,244.288605,243.736404,273.894714,273.750214,15.264000,5.402700,136.592407,357.819885,337.469788
915.021973,300.020813,3612.516602,3615.198975,306.852386,306.851013,283.404205,283.397888,5.842800,5.829000,10.473900,10.480300,246.581100,246.005005,246.575302,246.011002,212.815201,212.813995,18.000000,18.000000,244.318207,243.751801,273.899200,273.744904,15.263700,5.402700,136.612396,357.853699,337.470093
915.022522,299.982513,3612.531738,3615.217285,306.852600,306.851013,283.404205,283.397888,5.842900,5.829100,10.474000,10.480400,246.565308,246.023102,246.564102,246.020493,212.815506,212.814301,18.000000,18.000000,244.317093,243.738297,273.901001,273.748108,15.263600,5.402700,136.706802,357.872314,337.470215
915.023804,300.029205,3612.541016,3615.270020,306.852203,306.851013,283.404388,283.398102,5.843100,5.829400,10.474000,10.480500,246.562500,246.011505,246.561600,246.009705,212.815308,212.814102,18.000000,18.000000,244.387604,243.813797,273.902496,273.750214,15.263900,5.402700,136.802704,357.856903,337.471405
915.026489,299.985107,3612.529541,3615.335693,306.853088,306.850891,283.404510,283.398102,5.842700,5.829500,10.473900,10.480500,246.563202,246.004898,246.569702,246.001694,212.815704,212.814499,18.000000,18.000000,244.295898,243.738495,273.895386,273.751709,15.264100,5.402700,136.759796,357.826599,337.470886
915.025574,300.027588,3612.513428,3615.284180,306.852997,306.851013,283.404602,283.398285,5.842600,5.829600,10.474000,10.480500,246.591003,245.992004,246.589203,245.991302,212.815598,212.814407,18.000000,18.000000,244.308594,243.768295,273.898285,273.752411,15.264000,5.402700,136.695404,357.830505,337.470398
915.034119,299.989594,3612.526855,3615.262207,306.852386,306.851105,283.404510,283.398285,5.842700,5.828800,10.473900,10.480300,246.572205,246.006195,246.570007,246.016098,212.815796,212.814606,18.000000,18.000000,244.250000,243.677704,273.896912,273.742706,15.263700,5.402700,136.714005,357.862793,337.470886
915.020020,300.014893,3612.536377,3615.367188,306.852692,306.851105,283.404510,283.398285,5.842600,5.829200,10.473900,10.480400,246.578995,246.021698,246.580597,246.015305,212.815598,212.814407,18.000000,18.000000,244.288696,243.725906,273.897797,273.749390,15.264100,5.402700,136.805496,357.833313,337.471191
915.015930,299.998199,3612.517090,3615.295410,306.852600,306.851288,283.404388,283.398102,5.842900,5.829500,10.473900,10.480400,246.573395,246.004395,246.571304,246.002396,212.815506,212.814301,18.000000,18.000000,244.371597,243.811005,273.900513,273.751404,15.263900,5.402700,136.686798,357.832886,337.470886
915.022278,300.008301,3612.531006,3615.254395,306.852600,306.851288,283.404388,283.398102,5.843000,5.829600,10.474000,10.480500,246.567398,245.998795,246.566498,245.997894,212.815506,212.814301,18.000000,18.000000,244.367996,243.807907,273.901703,273.753113,15.263900,5.402600,136.751205,357.863403,337.471313
915.013977,300.016205,3612.534424,3615.402344,306.852997,306.851288,283.404602,283.398285,5.842900,5.828900,10.473900,10.480200,246.561600,246.004593,246.561493,246.014603,212.815598,212.814301,18.000000,18.000000,244.268600,243.690598,273.897614,273.742310,15.264100,5.402700,136.807007,357.830597,337.471497
