热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.009216,299.990387,3612.517822,3615.240967,306.853088,306.851196,283.404510,283.398285,5.842700,5.829400,10.473900,10.480400,246.582993,246.018799,246.581207,246.011597,212.815598,212.814407,18.000000,18.000000,244.261597,243.699905,273.898590,273.749908,15.263800,5.402700,136.705399,357.856689,337.471100
915.017883,299.997803,3612.542725,3615.322021,306.852112,306.851013,283.404388,283.398102,5.843000,5.829500,10.473900,10.480300,246.568298,246.002899,246.565598,246.002594,212.815399,212.814301,18.000000,18.000000,244.393204,243.828293,273.901703,273.750305,15.264100,5.402700,136.841293,357.856110,337.472107
915.021729,299.987610,3612.521973,3615.316650,306.852997,306.851105,283.404510,283.398285,5.842400,5.828800,10.473800,10.480200,246.568298,246.016006,246.574005,246.020493,212.815506,212.814301,18.000000,18.000000,244.228195,243.656494,273.894592,273.743591,15.264200,5.402700,136.746902,357.823395,337.472412
915.022278,299.999603,3612.516846,3615.191650,306.852203,306.851105,283.404388,283.398102,5.842800,5.829400,10.473900,10.480300,246.580704,246.012802,246.576004,246.009094,212.815308,212.814102,18.000000,18.000000,244.326096,243.763794,273.899689,273.749786,15.263900,5.402700,136.742599,357.855591,337.472412
915.021729,299.980408,3612.534912,3615.281738,306.852386,306.851013,283.404388,283.398102,5.843000,5.829500,10.473900,10.480400,246.567993,246.003601,246.567001,246.002197,212.815399,212.814301,18.000000,18.000000,244.364807,243.801193,273.901306,273.751587,15.264100,5.402700,136.815598,357.854614,337.472687
915.020386,300.010895,3612.530273,3615.346436,306.853088,306.851288,283.404694,283.398407,5.842600,5.829700,10.473800,10.480500,246.568497,245.997498,246.574493,245.994202,212.815399,212.814194,18.000000,18.000000,244.338593,243.786407,273.896301,273.753387,15.264200,5.402700,136.732605,357.832001,337.472900
915.019287,299.979492,3612.521484,3615.295654,306.853485,306.851196,283.404602,283.398407,5.842600,5.828800,10.473900,10.480200,246.588104,246.000198,246.582703,246.012299,212.815598,212.814499,18.000000,18.000000,244.215195,243.658005,273.897400,273.742706,15.264100,5.402700,136.628098,357.834503,337.472198
915.015991,300.002289,3612.522461,3615.229736,306.852509,306.851196,283.404510,283.398407,5.842900,5.829300,10.473900,10.480300,246.565796,246.025497,246.564896,246.019196,212.815506,212.814301,18.000000,18.000000,244.326508,243.748093,273.900787,273.749115,15.264100,5.402600,136.731094,357.864502,337.472198
915.021423,299.984406,3612.539551,3615.265625,306.851990,306.851105,283.404205,283.398102,5.842900,5.829500,10.473900,10.480400,246.562698,246.007004,246.564407,246.003601,212.815506,212.814301,18.000000,18.000000,244.370804,243.803604,273.899994,273.751587,15.264200,5.402600,136.784103,357.873199,337.472992
915.023682,300.002289,3612.543457,3615.385742,306.852600,306.851105,283.404510,283.398285,5.842400,5.829600,10.473800,10.480400,246.584198,245.993698,246.589493,245.990997,212.815506,212.814301,18.000000,18.000000,244.278900,243.739304,273.894714,273.752411,15.264400,5.402700,136.801300,357.839386,337.473114
915.024475,299.989410,3612.522949,3615.354736,306.854095,306.851288,283.404602,283.398407,5.842900,5.828800,10.473900,10.480100,246.575104,246.009506,246.568893,246.019897,212.815598,212.814407,18.000000,18.000000,244.274597,243.702103,273.899994,273.742798,15.264300,5.402700,136.682495,357.817413,337.473114
915.021423,299.991089,3612.517090,3615.182373,306.853210,306.851105,283.404510,283.398285,5.843100,5.829400,10.473900,10.480300,246.561707,246.020706,246.560806,246.014297,212.815598,212.814407,18.000000,18.000000,244.364105,243.786697,273.902710,273.750305,15.264100,5.402700,136.655304,357.856293,337.473114
915.021973,300.000397,3612.534668,3615.289795,306.852386,306.851288,283.404510,283.398193,5.843200,5.829500,10.474000,10.480300,246.557999,246.005203,246.557693,246.003494,212.815506,212.814301,18.000000,18.000000,244.389297,243.816803,273.904114,273.751404,15.264200,5.402700,136.782700,357.854095,337.473602
915.020508,299.990601,3612.518066,3615.326660,306.853302,306.851288,283.404694,283.398285,5.842600,5.828900,10.473700,10.480200,246.556396,246.010406,246.564102,246.016006,212.815704,212.814499,18.000000,18.000000,244.221207,243.647003,273.893799,273.743286,15.264400,5.402700,136.696793,357.828888,337.473297
915.019714,300.000397,3612.526367,3615.260742,306.853302,306.851288,283.404694,283.398285,5.842600,5.829300,10.473800,10.480300,246.587296,246.018005,246.584793,246.012802,212.815598,212.814407,18.000000,18.000000,244.273499,243.714203,273.899200,273.749695,15.264100,5.402600,136.655304,357.862701,337.473114
915.021179,299.979614,3612.533691,3615.227051,306.852203,306.851196,283.404602,283.398102,5.842800,5.829500,10.473700,10.480300,246.568405,246.004700,246.569794,246.002396,212.815598,212.814407,18.000000,18.000000,244.344101,243.784607,273.897003,273.750397,15.264200,5.402600,136.764099,357.869293,337.473907
915.025330,300.009094,3612.533447,3615.328857,306.852692,306.851288,283.404510,283.398193,5.842500,5.828900,10.473700,10.480100,246.584000,246.006805,246.583298,246.013306,212.815308,212.814102,18.000000,18.000000,244.250107,243.687805,273.897003,273.744110,15.264500,5.402700,136.782700,357.835205,337.473999
915.019470,299.974701,3612.521484,3615.252686,306.852692,306.851288,283.404510,283.398285,5.842900,5.829300,10.473800,10.480200,246.570297,246.017899,246.568695,246.013596,212.815399,212.814194,18.000000,18.000000,244.334198,243.763596,273.900208,273.749298,15.264200,5.402600,136.646805,357.850494,337.473999
915.017212,300.007202,3612.535889,3615.226563,306.852295,306.851288,283.404510,283.398285,5.843100,5.829400,10.473900,10.480300,246.564407,246.007401,246.562607,246.005997,212.815308,212.814102,18.000000,18.000000,244.386398,243.816193,273.902496,273.750793,15.264200,5.402600,136.699707,357.867401,337.474487
915.017029,299.986298,3612.539063,3615.339600,306.852905,306.851410,283.404694,283.398407,5.843200,5.829400,10.473900,10.480300,246.559296,246.002899,246.557800,246.003906,212.815506,212.814301,18.000000,18.000000,244.356598,243.782700,273.903015,273.748596,15.264500,5.402700,136.742599,357.839996,337.474792
915.017090,300.001587,3612.516846,3615.312500,306.853912,306.851288,283.404785,283.398407,5.842300,5.828800,10.473700,10.480200,246.565506,246.019501,246.574997,246.022003,212.815598,212.814407,18.000000,18.000000,244.186203,243.616394,273.893005,273.744812,15.264600,5.402700,136.588104,357.828613,337.474213
