热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
587.232727,180.862793,3619.883545,3623.760254,298.648285,298.644714,283.376007,283.247894,6.053900,6.068100,10.454300,10.454200,150.615295,151.450699,150.610504,151.455002,189.020294,189.020599,18.000000,18.000000,148.417099,149.289597,276.210602,276.361389,15.417000,4.943600,196.528000,357.901215,335.531097
587.227783,180.839706,3619.896484,3623.880859,298.648193,298.644196,283.375702,283.247498,6.054000,6.067900,10.454300,10.454200,150.572906,151.447495,150.589005,151.465805,189.018204,189.018402,18.000000,18.000000,148.420303,149.256805,276.211700,276.363800,15.417200,4.943500,191.079102,357.878113,335.531311
587.225403,180.839600,3619.874268,3623.812256,298.648712,298.643707,283.375397,283.247101,6.053600,6.068300,10.454200,10.454300,150.696396,151.569107,150.698303,151.561295,189.015305,189.015503,18.000000,18.000000,148.482407,149.333603,276.208191,276.366486,15.416900,4.943400,184.146896,357.858795,335.530609
587.225586,180.856796,3619.874268,3623.784424,298.648285,298.643005,283.374786,283.246490,6.053200,6.068400,10.454000,10.454400,150.687302,151.513504,150.706894,151.529694,189.013306,189.013504,18.000000,18.000000,148.345398,149.244995,276.202393,276.367401,15.416800,4.943200,178.723801,357.874115,335.529999
587.222473,180.831497,3619.892090,3623.728760,298.645996,298.642395,283.373993,283.245697,6.053700,6.067500,10.454200,10.454000,150.759399,151.609604,150.752808,151.613693,189.011200,189.011398,18.000000,18.000000,148.380997,149.250198,276.208008,276.357300,15.416800,4.943000,173.372299,357.903015,335.530914
587.216125,180.830307,3619.910645,3623.798340,298.644989,298.641815,283.373413,283.245087,6.053500,6.068000,10.454100,10.454100,150.803299,151.672897,150.832993,151.697098,189.009003,189.009293,18.000000,18.000000,148.454895,149.300797,276.206085,276.363007,15.416900,4.942800,167.940598,357.900909,335.532013
587.210693,180.827698,3619.906982,3623.823242,298.645813,298.641388,283.372894,283.244385,6.053100,6.067500,10.453900,10.454000,150.834900,151.683197,150.832397,151.684692,189.006805,189.007004,18.000000,18.000000,148.324295,149.200607,276.200989,276.358093,15.416600,4.942700,162.408798,357.864410,335.531586
587.211426,180.822693,3619.907959,3623.729980,298.644409,298.640594,283.372101,283.243713,6.053300,6.067800,10.453900,10.454000,150.913300,151.779907,150.942398,151.804306,189.004700,189.004898,18.000000,18.000000,148.460800,149.317307,276.204407,276.360504,15.416300,4.942500,157.021500,357.894592,335.531586
587.207397,180.820404,3619.928711,3623.812744,298.643890,298.640015,283.371490,283.243011,6.052900,6.067900,10.453800,10.454100,150.953995,151.791000,150.964798,151.799301,189.002502,189.002701,18.000000,18.000000,148.386002,149.274506,276.199188,276.362213,15.416400,4.942300,151.606995,357.890686,335.532196
587.209717,180.817001,3619.922119,3623.861084,298.643707,298.639404,283.371002,283.242401,6.053400,6.068000,10.454100,10.454200,151.042999,151.883301,151.052399,151.893600,189.000305,189.000504,18.000000,18.000000,148.518204,149.403702,276.205109,276.363403,15.416200,4.942200,146.129593,357.860809,335.531311
